id,Rings
90615,12
90616,10
90617,10
90618,10
90619,7
90620,9
90621,11
90622,6
90623,8
90624,12
90625,10
90626,6
90627,8
90628,10
90629,7
90630,7
90631,14
90632,5
90633,11
90634,10
90635,5
90636,6
90637,10
90638,9
90639,11
90640,9
90641,7
90642,10
90643,6
90644,11
90645,12
90646,9
90647,9
90648,12
90649,10
90650,12
90651,10
90652,8
90653,15
90654,6
90655,8
90656,8
90657,8
90658,6
90659,9
90660,7
90661,8
90662,7
90663,11
90664,7
90665,10
90666,10
90667,5
90668,12
90669,7
90670,9
90671,9
90672,9
90673,13
90674,7
90675,5
90676,9
90677,9
90678,5
90679,9
90680,9
90681,9
90682,14
90683,11
90684,11
90685,10
90686,6
90687,10
90688,8
90689,10
90690,13
90691,8
90692,13
90693,9
90694,10
90695,9
90696,10
90697,7
90698,9
90699,5
90700,9
90701,10
90702,10
90703,16
90704,5
90705,13
90706,13
90707,6
90708,9
90709,10
90710,9
90711,11
90712,10
90713,12
90714,7
90715,8
90716,7
90717,10
90718,5
90719,5
90720,10
90721,9
90722,8
90723,8
90724,11
90725,6
90726,7
90727,8
90728,10
90729,10
90730,10
90731,5
90732,7
90733,10
90734,11
90735,8
90736,7
90737,5
90738,7
90739,11
90740,10
90741,5
90742,11
90743,14
90744,7
90745,6
90746,8
90747,4
90748,11
90749,11
90750,4
90751,7
90752,8
90753,7
90754,10
90755,9
90756,10
90757,11
90758,10
90759,7
90760,7
90761,10
90762,10
90763,11
90764,13
90765,12
90766,7
90767,14
90768,13
90769,6
90770,14
90771,11
90772,5
90773,8
90774,6
90775,9
90776,7
90777,8
90778,11
90779,12
90780,10
90781,13
90782,8
90783,10
90784,6
90785,8
90786,6
90787,11
90788,4
90789,8
90790,8
90791,6
90792,6
90793,6
90794,5
90795,10
90796,13
90797,10
90798,10
90799,7
90800,12
90801,12
90802,6
90803,10
90804,12
90805,13
90806,9
90807,7
90808,9
90809,10
90810,9
90811,9
90812,6
90813,10
90814,7
90815,8
90816,5
90817,11
90818,10
90819,7
90820,6
90821,10
90822,6
90823,5
90824,11
90825,8
90826,5
90827,5
90828,9
90829,10
90830,10
90831,8
90832,10
90833,11
90834,11
90835,10
90836,9
90837,5
90838,11
90839,7
90840,10
90841,9
90842,8
90843,11
90844,10
90845,12
90846,9
90847,7
90848,10
90849,8
90850,7
90851,13
90852,6
90853,14
90854,11
90855,7
90856,9
90857,12
90858,11
90859,10
90860,9
90861,10
90862,13
90863,10
90864,8
90865,10
90866,11
90867,14
90868,11
90869,7
90870,12
90871,9
90872,10
90873,6
90874,11
90875,8
90876,10
90877,11
90878,8
90879,11
90880,8
90881,13
90882,10
90883,10
90884,14
90885,9
90886,11
90887,5
90888,9
90889,13
90890,9
90891,14
90892,7
90893,5
90894,11
90895,12
90896,6
90897,5
90898,5
90899,10
90900,11
90901,13
90902,9
90903,6
90904,7
90905,7
90906,7
90907,12
90908,5
90909,11
90910,10
90911,6
90912,11
90913,10
90914,10
90915,6
90916,8
90917,10
90918,7
90919,9
90920,9
90921,6
90922,7
90923,10
90924,9
90925,12
90926,10
90927,10
90928,11
90929,13
90930,11
90931,10
90932,10
90933,12
90934,11
90935,8
90936,10
90937,14
90938,10
90939,10
90940,8
90941,7
90942,5
90943,9
90944,6
90945,9
90946,10
90947,10
90948,11
90949,8
90950,10
90951,9
90952,8
90953,6
90954,10
90955,8
90956,9
90957,13
90958,4
90959,7
90960,16
90961,6
90962,13
90963,5
90964,11
90965,6
90966,9
90967,9
90968,14
90969,9
90970,8
90971,7
90972,10
90973,10
90974,10
90975,13
90976,7
90977,8
90978,6
90979,11
90980,8
90981,10
90982,9
90983,4
90984,11
90985,5
90986,9
90987,9
90988,9
90989,12
90990,10
90991,8
90992,5
90993,10
90994,10
90995,6
90996,10
90997,9
90998,6
90999,6
91000,9
91001,7
91002,8
91003,10
91004,9
91005,8
91006,9
91007,8
91008,7
91009,13
91010,9
91011,10
91012,8
91013,10
91014,9
91015,8
91016,7
91017,10
91018,7
91019,13
91020,7
91021,15
91022,9
91023,5
91024,6
91025,14
91026,10
91027,7
91028,12
91029,9
91030,8
91031,9
91032,6
91033,5
91034,11
91035,10
91036,10
91037,7
91038,10
91039,11
91040,9
91041,6
91042,9
91043,13
91044,7
91045,6
91046,8
91047,6
91048,11
91049,10
91050,11
91051,8
91052,10
91053,9
91054,9
91055,7
91056,12
91057,13
91058,12
91059,11
91060,11
91061,8
91062,12
91063,7
91064,12
91065,11
91066,11
91067,7
91068,13
91069,9
91070,7
91071,8
91072,5
91073,6
91074,10
91075,7
91076,13
91077,7
91078,6
91079,7
91080,8
91081,7
91082,11
91083,10
91084,8
91085,9
91086,10
91087,12
91088,11
91089,11
91090,10
91091,8
91092,12
91093,7
91094,6
91095,14
91096,12
91097,12
91098,6
91099,6
91100,8
91101,13
91102,7
91103,8
91104,10
91105,11
91106,10
91107,6
91108,10
91109,13
91110,13
91111,8
91112,10
91113,11
91114,5
91115,11
91116,6
91117,8
91118,6
91119,8
91120,10
91121,12
91122,6
91123,9
91124,9
91125,7
91126,7
91127,6
91128,6
91129,9
91130,9
91131,8
91132,13
91133,9
91134,10
91135,7
91136,9
91137,12
91138,7
91139,9
91140,9
91141,9
91142,14
91143,6
91144,14
91145,11
91146,5
91147,11
91148,14
91149,7
91150,12
91151,10
91152,9
91153,9
91154,7
91155,13
91156,6
91157,14
91158,9
91159,10
91160,9
91161,9
91162,9
91163,5
91164,10
91165,8
91166,9
91167,8
91168,11
91169,10
91170,6
91171,9
91172,10
91173,9
91174,6
91175,10
91176,9
91177,14
91178,5
91179,10
91180,10
91181,8
91182,10
91183,7
91184,6
91185,10
91186,9
91187,8
91188,9
91189,17
91190,5
91191,8
91192,11
91193,7
91194,8
91195,8
91196,7
91197,9
91198,6
91199,6
91200,9
91201,11
91202,9
91203,8
91204,6
91205,12
91206,11
91207,12
91208,9
91209,11
91210,6
91211,8
91212,10
91213,6
91214,13
91215,9
91216,5
91217,8
91218,11
91219,11
91220,10
91221,6
91222,10
91223,12
91224,10
91225,12
91226,11
91227,6
91228,9
91229,10
91230,11
91231,9
91232,7
91233,10
91234,7
91235,11
91236,9
91237,7
91238,8
91239,8
91240,8
91241,11
91242,10
91243,11
91244,12
91245,9
91246,6
91247,8
91248,11
91249,9
91250,6
91251,11
91252,10
91253,8
91254,6
91255,10
91256,11
91257,7
91258,8
91259,11
91260,9
91261,7
91262,9
91263,6
91264,9
91265,6
91266,9
91267,8
91268,6
91269,17
91270,12
91271,6
91272,10
91273,11
91274,8
91275,8
91276,11
91277,12
91278,11
91279,8
91280,9
91281,7
91282,11
91283,10
91284,8
91285,12
91286,9
91287,10
91288,10
91289,11
91290,7
91291,7
91292,14
91293,12
91294,10
91295,9
91296,10
91297,12
91298,10
91299,6
91300,8
91301,9
91302,9
91303,11
91304,10
91305,10
91306,6
91307,8
91308,11
91309,11
91310,8
91311,9
91312,11
91313,9
91314,6
91315,10
91316,7
91317,10
91318,8
91319,8
91320,8
91321,7
91322,5
91323,9
91324,7
91325,7
91326,10
91327,10
91328,9
91329,11
91330,7
91331,9
91332,11
91333,8
91334,11
91335,5
91336,11
91337,9
91338,6
91339,9
91340,7
91341,6
91342,10
91343,7
91344,6
91345,7
91346,7
91347,10
91348,9
91349,11
91350,4
91351,10
91352,11
91353,11
91354,9
91355,6
91356,15
91357,14
91358,11
91359,8
91360,5
91361,9
91362,8
91363,7
91364,9
91365,6
91366,11
91367,9
91368,6
91369,9
91370,9
91371,8
91372,6
91373,10
91374,6
91375,10
91376,8
91377,10
91378,15
91379,7
91380,10
91381,10
91382,5
91383,5
91384,9
91385,12
91386,9
91387,13
91388,13
91389,5
91390,7
91391,7
91392,10
91393,9
91394,10
91395,8
91396,12
91397,11
91398,12
91399,8
91400,6
91401,11
91402,11
91403,5
91404,10
91405,11
91406,9
91407,6
91408,7
91409,13
91410,9
91411,13
91412,8
91413,9
91414,8
91415,9
91416,11
91417,9
91418,11
91419,13
91420,15
91421,11
91422,8
91423,12
91424,6
91425,9
91426,8
91427,8
91428,10
91429,8
91430,9
91431,6
91432,12
91433,7
91434,14
91435,12
91436,9
91437,13
91438,8
91439,9
91440,10
91441,7
91442,10
91443,11
91444,14
91445,9
91446,6
91447,13
91448,7
91449,13
91450,10
91451,10
91452,13
91453,8
91454,9
91455,14
91456,8
91457,6
91458,11
91459,10
91460,10
91461,9
91462,7
91463,11
91464,8
91465,10
91466,12
91467,13
91468,13
91469,13
91470,6
91471,12
91472,5
91473,10
91474,13
91475,11
91476,14
91477,6
91478,8
91479,5
91480,14
91481,11
91482,10
91483,8
91484,6
91485,10
91486,8
91487,9
91488,14
91489,15
91490,11
91491,7
91492,10
91493,7
91494,10
91495,9
91496,10
91497,8
91498,6
91499,11
91500,11
91501,11
91502,11
91503,7
91504,8
91505,7
91506,11
91507,8
91508,10
91509,13
91510,10
91511,11
91512,10
91513,8
91514,7
91515,9
91516,9
91517,5
91518,10
91519,6
91520,7
91521,12
91522,8
91523,11
91524,6
91525,11
91526,8
91527,8
91528,13
91529,12
91530,7
91531,10
91532,13
91533,10
91534,8
91535,8
91536,12
91537,11
91538,7
91539,8
91540,10
91541,8
91542,10
91543,12
91544,11
91545,7
91546,10
91547,8
91548,10
91549,7
91550,8
91551,9
91552,8
91553,10
91554,6
91555,7
91556,5
91557,8
91558,13
91559,6
91560,9
91561,10
91562,11
91563,7
91564,14
91565,10
91566,5
91567,12
91568,10
91569,4
91570,9
91571,10
91572,10
91573,8
91574,10
91575,10
91576,8
91577,12
91578,9
91579,13
91580,9
91581,9
91582,15
91583,10
91584,10
91585,12
91586,13
91587,6
91588,13
91589,5
91590,10
91591,5
91592,7
91593,5
91594,8
91595,8
91596,7
91597,10
91598,9
91599,13
91600,10
91601,6
91602,12
91603,8
91604,8
91605,8
91606,9
91607,8
91608,6
91609,12
91610,12
91611,11
91612,10
91613,9
91614,8
91615,11
91616,8
91617,6
91618,10
91619,8
91620,6
91621,11
91622,9
91623,13
91624,9
91625,6
91626,11
91627,10
91628,10
91629,10
91630,8
91631,8
91632,12
91633,8
91634,7
91635,9
91636,6
91637,13
91638,13
91639,11
91640,8
91641,5
91642,10
91643,9
91644,12
91645,5
91646,6
91647,10
91648,8
91649,10
91650,9
91651,8
91652,10
91653,7
91654,6
91655,11
91656,5
91657,7
91658,6
91659,11
91660,11
91661,8
91662,7
91663,5
91664,8
91665,8
91666,14
91667,6
91668,13
91669,10
91670,7
91671,7
91672,7
91673,10
91674,10
